conference_id,event,gender,place,predicted_year,predicted_seconds,predicted_time,predicted_low,predicted_time_low,predicted_high,predicted_time_high,r2,p_value,slope,intercept,sample_size
143,100 Back,F,1,2027,56.8117,56.81,53.7091,53.71,59.9143,59.91,0.0652,0.34,0.063416,-71.7319,16
143,100 Back,F,8,2027,58.9724,58.97,56.1808,56.18,61.764,1:01.76,0.0461,0.4247,-0.047495,155.2446,16
143,100 Back,F,16,2027,61.6378,1:01.64,57.6119,57.61,65.6637,1:05.66,0.0598,0.3614,-0.078607,220.9743,16
143,100 Back,F,24,2027,61.6878,1:01.69,41.2328,41.23,64.8263,1:04.83,0.6158,0.0645,-0.755714,1584.8624,6
143,100 Breast,F,1,2027,63.7616,1:03.76,61.6714,1:01.67,65.8517,1:05.85,0.0006,0.928,-0.00398,71.8282,16
143,100 Breast,F,8,2027,67.9357,1:07.94,65.4673,1:05.47,70.404,1:10.40,0.0027,0.8471,-0.010031,88.2677,16
143,100 Breast,F,16,2027,72.9687,1:12.97,69.8337,1:09.83,76.1037,1:16.10,0.4835,0.0028,0.234827,-403.0249,16
143,100 Breast,F,24,2027,73.0187,1:13.02,58.3637,58.36,79.1028,1:19.10,0.1725,0.4128,-0.239571,554.3446,6
143,100 Fly,F,1,2027,56.4356,56.44,54.136,54.14,58.7351,58.74,0.2268,0.0622,0.096424,-139.0165,16
143,100 Fly,F,8,2027,59.0065,59.01,56.7982,56.80,61.2149,1:01.21,0.0177,0.6232,0.022957,12.473,16
143,100 Fly,F,16,2027,61.3956,1:01.40,59.0714,59.07,63.7199,1:03.72,0.049,0.4281,0.039573,-18.8179,15
143,100 Fly,F,24,2027,61.4456,1:01.45,51.0118,51.01,53.2076,53.21,0.9986,0.0007,-0.742571,1557.302,4
143,100 Free,F,1,2027,51.0696,51.07,48.7145,48.71,53.4247,53.42,0.0002,0.9608,0.002438,46.1269,16
143,100 Free,F,8,2027,53.1931,53.19,50.827,50.83,55.5592,55.56,0.0313,0.5281,-0.031924,117.9034,15
