conference_id,event,gender,place,predicted_year,predicted_seconds,predicted_time,predicted_low,predicted_time_low,predicted_high,predicted_time_high,r2,p_value,slope,intercept,sample_size
2,100 Back,F,1,2027,53.2076,53.21,50.8218,50.82,55.5934,55.59,0.0612,0.3555,-0.051051,156.689,16
2,100 Back,F,8,2027,54.6176,54.62,54.1167,54.12,55.1186,55.12,0.935,0.0,-0.15914,377.1938,16
2,100 Breast,F,1,2027,59.8038,59.80,58.3982,58.40,61.2093,1:01.21,0.7137,0.0,-0.185956,436.7363,16
2,100 Breast,F,8,2027,62.1111,1:02.11,60.7976,1:00.80,63.4247,1:03.42,0.8355,0.0,-0.248029,564.8667,16
2,100 Fly,F,1,2027,52.7395,52.74,51.8398,51.84,53.6392,53.64,0.644,0.0002,-0.101382,258.2415,16
2,100 Fly,F,8,2027,54.4674,54.47,53.8375,53.84,55.0973,55.10,0.8736,0.0,-0.138728,335.6689,16
2,100 Free,F,1,2027,48.8238,48.82,48.1245,48.12,49.523,49.52,0.7626,0.0,-0.105,261.6587,16
2,100 Free,F,8,2027,50.3981,50.40,49.8019,49.80,50.9943,50.99,0.7768,0.0,-0.093199,239.3115,16
2,1650 Free,F,1,2027,986.239,16:26.24,972.2599,16:12.26,1000.2181,16:40.22,0.5692,0.0007,-1.346404,3715.4007,16
2,1650 Free,F,8,2027,1018.3081,16:58.31,1005.1091,16:45.11,1031.5071,17:11.51,0.5542,0.0009,-1.233162,3517.927,16
2,1650 Free,F,16,2027,1033.9907,17:13.99,1010.8695,16:50.87,1057.112,17:37.11,0.4842,0.0028,-1.877044,4838.7592,16
2,1650 Free,F,24,2027,1068.6632,17:48.66,1055.451,17:35.45,1081.8754,18:01.88,0.1726,0.158,-0.524631,2132.09,13
2,200 Back,F,1,2027,114.9405,1:54.94,113.5922,1:53.59,116.2888,1:56.29,0.6773,0.0001,-0.163654,446.668,16
2,200 Back,F,8,2027,118.4048,1:58.40,115.9111,1:55.91,120.8984,2:00.90,0.7187,0.0,-0.334,795.4228,16
2,200 Back,F,16,2027,124.1753,2:04.18,122.613,2:02.61,125.7376,2:05.74,0.6142,0.1168,-0.111241,349.66,5
2,200 Breast,F,1,2027,131.357,2:11.36,130.1618,2:10.16,132.5522,2:12.55,0.7984,0.0,-0.199324,535.3858,16
2,200 Breast,F,8,2027,135.9406,2:15.94,133.9874,2:13.99,137.8938,2:17.89,0.8244,0.0,-0.354632,854.7804,16
2,200 Fly,F,1,2027,118.1869,1:58.19,116.649,1:56.65,119.7248,1:59.72,0.3125,0.0244,-0.086875,294.2825,16
2,200 Fly,F,8,2027,122.2598,2:02.26,120.9545,2:00.95,123.565,2:03.57,0.6808,0.0001,-0.159735,446.0432,16
2,200 Free,F,1,2027,108.005,1:48.00,106.2866,1:46.29,109.7234,1:49.72,0.0034,0.8307,-0.008382,124.996,16
2,200 Free,F,8,2027,109.7325,1:49.73,108.54,1:48.54,110.925,1:50.92,0.6723,0.0001,-0.143125,399.8469,16
2,200 Free,F,16,2027,112.4653,1:52.47,111.5731,1:51.57,113.3574,1:53.36,0.5982,0.2265,-0.031815,176.9536,4
2,200 Free Relay,F,1,2027,90.4522,1:30.45,89.7145,1:29.71,91.19,1:31.19,0.857,0.0,-0.151353,397.2447,16
2,200 Free Relay,F,8,2027,93.6673,1:33.67,92.0991,1:32.10,95.2355,1:35.24,0.5797,0.0025,-0.177308,453.07,13
2,200 IM,F,1,2027,117.7485,1:57.75,116.0926,1:56.09,119.4044,1:59.40,0.6013,0.0004,-0.170397,463.1433,16
2,200 IM,F,8,2027,121.6115,2:01.61,120.1697,2:00.17,123.0533,2:03.05,0.8104,0.0,-0.24975,627.8547,16
2,200 IM,F,16,2027,125.3312,2:05.33,122.7372,2:02.74,127.9251,2:07.93,0.6063,0.0681,-0.172511,475.0107,6
2,200 Medley Relay,F,1,2027,99.5424,1:39.54,97.8418,1:37.84,101.2429,1:41.24,0.1551,0.1313,-0.061044,223.2788,16
2,200 Medley Relay,F,8,2027,102.3524,1:42.35,100.4083,1:40.41,104.2965,1:44.30,0.6716,0.0001,-0.232956,574.5539,16
2,400 Free Relay,F,1,2027,198.8779,3:18.88,196.8154,3:16.82,200.9404,3:20.94,0.596,0.0005,-0.209882,624.3094,16
2,400 Free Relay,F,8,2027,205.2066,3:25.21,202.2279,3:22.23,208.1853,3:28.19,0.5876,0.0005,-0.297934,809.1185,16
2,400 IM,F,1,2027,253.5058,4:13.51,250.8408,4:10.84,256.1707,4:16.17,0.6251,0.0003,-0.288331,837.9524,16
2,400 IM,F,8,2027,261.2189,4:21.22,257.2925,4:17.29,265.1453,4:25.15,0.7006,0.0001,-0.503221,1281.247,16
2,400 IM,F,16,2027,273.3596,4:33.36,268.7697,4:28.77,277.9496,4:37.95,0.6801,0.1753,0.280504,-295.2212,4
2,400 Medley Relay,F,1,2027,217.7429,3:37.74,214.3005,3:34.30,221.1852,3:41.19,0.5624,0.0008,-0.326978,880.5272,16
2,400 Medley Relay,F,8,2027,226.6359,3:46.64,224.5867,3:44.59,228.6851,3:48.69,0.711,0.0001,-0.281679,797.5984,15
2,50 Free,F,1,2027,22.5314,22.53,22.168,22.17,22.8947,22.89,0.6386,0.0002,-0.040463,104.5504,16
2,50 Free,F,8,2027,23.0444,23.04,22.8633,22.86,23.2254,23.23,0.9159,0.0,-0.050074,124.5434,16
2,50 Free,F,16,2027,23.0944,23.09,19.2953,19.30,26.7545,26.75,0.8923,0.0554,-0.23867,506.8094,4
2,500 Free,F,1,2027,286.1399,4:46.14,281.1327,4:41.13,291.147,4:51.15,0.3317,0.0196,-0.295566,885.2525,16
2,500 Free,F,8,2027,293.7494,4:53.75,291.3531,4:51.35,296.1457,4:56.15,0.6555,0.0001,-0.276985,855.1986,16
2,500 Free,F,16,2027,293.7994,4:53.80,258.7573,4:18.76,321.8291,5:21.83,0.6899,0.0207,-2.707033,5777.4499,7
2,800 Free Relay,F,1,2027,432.3336,7:12.33,428.1228,7:08.12,436.5445,7:16.54,0.691,0.0001,-0.527625,1501.8295,16
2,800 Free Relay,F,8,2027,449.5596,7:29.56,444.0053,7:24.01,455.1139,7:35.11,0.4716,0.0033,-0.439676,1340.7838,16
2,100 Back,M,1,2027,45.9156,45.92,44.6963,44.70,47.135,47.13,0.7276,0.0,-0.166985,384.3948,16
2,100 Back,M,8,2027,48.151,48.15,47.0385,47.04,49.2635,49.26,0.8167,0.0,-0.196757,446.9782,16
2,100 Breast,M,1,2027,52.5164,52.52,50.4015,50.40,54.6312,54.63,0.5083,0.0019,-0.180169,417.7192,16
2,100 Breast,M,8,2027,54.5331,54.53,53.1064,53.11,55.9598,55.96,0.6902,0.0001,-0.178419,416.1887,16
2,100 Fly,M,1,2027,44.8079,44.81,43.5181,43.52,46.0976,46.10,0.8595,0.0,-0.267235,586.4938,16
2,100 Fly,M,8,2027,47.6524,47.65,47.179,47.18,48.1257,48.13,0.9519,0.0,-0.176485,405.3881,16
2,100 Free,M,1,2027,42.917,42.92,41.7962,41.80,44.0378,44.04,0.611,0.0003,-0.117706,281.5068,16
2,100 Free,M,8,2027,44.4929,44.49,43.9631,43.96,45.0226,45.02,0.7921,0.0,-0.086647,220.1265,16
2,1650 Free,M,1,2027,907.6715,15:07.67,890.0621,14:50.06,925.2809,15:25.28,0.6201,0.0003,-1.885118,4728.805,16
